loaded 340 states from 0002.dat
FINGER
Bounding Sphere
   0.0, 297.5,   0.0,    0,   -0,    0
POLYFLAP
Bounding Box
   0.0,   0.0,   0.0,    0,   -0,    0
50, 25, 65, 
GROUND PLANE
Bounding Plane
   0.0,   0.0,   0.0,    0,   -0,    0
timestamp, eff_x, eff_y, eff_z,eff_r,eff_p,eff_y,    Fx,    Fy,    Fz,    Tx,    Ty,    Tz, obj_x, obj_y, obj_z,obj_r,obj_p,obj_y
   97.847,  -0.0, 284.1, 165.0,  -78,   -0,    0,  -0.0,   0.0,   0.8,   1.3,   2.0,  -0.1,   0.0, 200.0,  49.0,  -24,   90,  -24
   97.880,  -0.0, 284.1, 165.0,  -78,   -0,    0,  -0.0,   0.0,   0.8,   1.8,   1.0,  -0.1,   0.0, 200.0,  49.0,   22,   90,   22
   97.914,  -0.0, 284.1, 165.0,  -78,   -0,    0,  -0.0,   0.0,   0.8,   1.8,   1.5,  -0.1,   0.0, 200.0,  49.0,  -64,   90,  -64
   97.947,  -0.0, 284.1, 165.0,  -78,   -0,    0,  -0.0,   0.0,   0.8,   1.8,   0.3,  -0.1,   0.0, 200.0,  49.0,   44,   90,   44
   97.980,  -0.0, 284.1, 165.0,  -78,   -0,    0,  -0.0,   0.0,   0.8,   2.0,   1.4,  -0.1,   0.0, 200.0,  49.0,   44,   90,   44
   98.013,  -0.0, 284.2, 165.0,  -78,   -0,    0,  -0.0,   0.0,   0.8,   1.8,   1.4,  -0.1,   0.0, 200.0,  49.0,  -72,   90,  -72
   98.047,  -0.0, 284.2, 165.0,  -78,   -0,    0,  -0.0,   0.0,   0.8,   1.9,   2.0,  -0.1,   0.0, 200.0,  49.0,   26,   90,   26
   98.080,  -0.0, 284.2, 165.0,  -78,   -0,    0,  -0.0,   0.0,   0.8,   2.0,   0.7,  -0.1,   0.0, 200.0,  49.0,   26,   90,   26
   98.113,  -0.0, 284.2, 165.0,  -78,   -0,    0,  -0.0,   0.0,   0.8,   2.0,   1.9,  -0.1,   0.0, 200.0,  49.0,  -21,   90,  -21
   98.147,  -0.0, 284.3, 165.0,  -78,   -0,    0,  -0.0,   0.0,   0.8,   1.8,   1.6,  -0.1,   0.0, 200.0,  49.0,   42,   90,   42
